,Unnamed: 0,pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
0,0,1,tcp,192.168.100.147,49960,192.168.100.7,80,9,0.068909,75,0.0,1,0.068909,96,14.511892999999999,0.566862,0.137818,1,DoS,HTTP
1,1,2,arp,192.168.100.7,-1,192.168.100.147,-1,10,0.0,2,0.000131,2,0.000131,1,0.0,0.0,0.000131,1,DoS,HTTP
2,2,3,tcp,192.168.100.147,49962,192.168.100.7,80,11,0.06449400000000001,75,0.0,1,0.06449400000000001,96,15.505319,0.567549,0.12898800000000002,1,DoS,HTTP
3,3,4,tcp,192.168.100.147,49964,192.168.100.7,80,12,0.064189,75,0.0,1,0.064189,96,15.578992999999999,0.56757,0.128378,1,DoS,HTTP
4,4,5,tcp,192.168.100.147,49966,192.168.100.7,80,13,0.063887,75,0.0,1,0.063887,96,15.652637,0.56763,0.127774,1,DoS,HTTP
5,5,6,tcp,192.168.100.147,49968,192.168.100.7,80,14,0.063579,75,0.0,1,0.063579,96,15.728587,0.56765,0.127157,1,DoS,HTTP
6,6,7,tcp,192.168.100.147,49970,192.168.100.7,80,15,0.06306,75,0.0,1,0.06306,96,15.858039000000002,0.5676680000000001,0.126119,1,DoS,HTTP
7,7,8,tcp,192.168.100.147,49972,192.168.100.7,80,16,0.062963,75,0.0,1,0.062963,96,15.882342999999999,0.567692,0.125926,1,DoS,HTTP
8,8,9,tcp,192.168.100.147,49974,192.168.100.7,80,17,0.06290599999999999,75,0.0,1,0.06290599999999999,96,15.896735000000001,0.567711,0.12581199999999998,1,DoS,HTTP
9,9,10,tcp,192.168.100.147,49976,192.168.100.7,80,18,0.061111,75,0.0,1,0.061111,96,16.3638,0.5680109999999999,0.12222100000000001,1,DoS,HTTP
10,10,11,tcp,192.168.100.147,49978,192.168.100.7,80,19,0.060784000000000005,75,0.0,1,0.060784000000000005,96,16.451698,0.568076,0.12156800000000001,1,DoS,HTTP
11,11,12,tcp,192.168.100.147,49980,192.168.100.7,80,20,0.199734,75,0.0,1,0.199734,96,5.006659,0.568131,0.399468,1,DoS,HTTP
12,12,13,tcp,192.168.100.147,49982,192.168.100.7,80,21,0.7148180000000001,75,0.0,1,0.7148180000000001,96,1.398958,0.568159,1.429635,1,DoS,HTTP
13,13,14,tcp,192.168.100.147,49984,192.168.100.7,80,22,0.714741,75,0.0,1,0.714741,96,1.399109,0.568185,1.429481,1,DoS,HTTP
14,14,15,tcp,192.168.100.147,49986,192.168.100.7,80,23,1.228209,75,0.0,1,1.228209,96,0.814194,0.5682119999999999,2.456418,1,DoS,HTTP
15,15,16,tcp,192.168.100.147,49988,192.168.100.7,80,24,1.232485,75,0.0,1,1.232485,96,0.811369,0.5682649999999999,2.46497,1,DoS,HTTP
16,16,17,tcp,192.168.100.147,49990,192.168.100.7,80,25,1.237011,75,0.0,1,1.237011,96,1.2126,0.710384,2.474022,1,DoS,HTTP
17,17,18,tcp,192.168.100.147,49992,192.168.100.7,80,26,1.237327,75,0.0,1,1.237327,96,0.808194,0.5683729999999999,2.474653,1,DoS,HTTP
18,18,19,tcp,192.168.100.147,49994,192.168.100.7,80,27,1.7510830000000002,75,0.0,1,1.7510830000000002,96,0.571075,0.568409,3.5021660000000003,1,DoS,HTTP
19,19,20,tcp,192.168.100.147,49996,192.168.100.7,80,28,1.755295,75,0.0,1,1.755295,96,0.569705,0.568477,3.51059,1,DoS,HTTP
20,20,21,tcp,192.168.100.147,49998,192.168.100.7,80,29,1.759441,75,0.0,1,1.759441,96,0.568362,0.568523,3.518883,1,DoS,HTTP
21,21,22,tcp,192.168.100.147,50000,192.168.100.7,80,30,1.7592720000000002,75,0.0,1,1.7592720000000002,96,0.5684170000000001,0.568562,3.518543,1,DoS,HTTP
22,22,23,tcp,192.168.100.147,50002,192.168.100.7,80,31,1.764084,75,0.0,1,1.764084,96,0.566866,0.569172,3.528169,1,DoS,HTTP
23,23,24,tcp,192.168.100.147,50004,192.168.100.7,80,32,1.7681349999999998,75,0.0,1,1.7681349999999998,96,0.5655680000000001,0.5692050000000001,3.5362699999999996,1,DoS,HTTP
24,24,25,tcp,192.168.100.147,50006,192.168.100.7,80,33,1.770982,75,0.0,1,1.770982,96,0.564659,0.569242,3.5419629999999995,1,DoS,HTTP
25,25,26,tcp,192.168.100.147,50008,192.168.100.7,80,34,1.7722349999999998,75,0.0,1,1.7722349999999998,96,0.5642590000000001,0.5692699999999999,3.5444690000000003,1,DoS,HTTP
26,26,27,tcp,192.168.100.147,50010,192.168.100.7,80,35,2.287254,75,0.0,1,2.287254,96,0.437205,0.5693050000000001,4.574508,1,DoS,HTTP
27,27,28,tcp,192.168.100.147,50012,192.168.100.7,80,36,2.290204,75,0.0,1,2.290204,96,0.43664200000000003,0.569366,4.580407,1,DoS,HTTP
28,28,29,tcp,192.168.100.147,50014,192.168.100.7,80,37,2.295114,75,0.0,1,2.295114,96,0.435708,0.569388,4.590228,1,DoS,HTTP
29,29,30,tcp,192.168.100.147,50016,192.168.100.7,80,38,2.299771,75,0.0,1,2.299771,96,0.43482600000000005,0.569453,4.599541,1,DoS,HTTP
30,30,31,tcp,192.168.100.147,50018,192.168.100.7,80,39,2.301371,75,0.0,1,2.301371,96,0.43452399999999997,0.569488,4.602742,1,DoS,HTTP
31,31,32,tcp,192.168.100.147,50020,192.168.100.7,80,40,2.311155,75,0.0,1,2.311155,96,0.432684,0.569517,4.622309,1,DoS,HTTP
